"Sample","DoB_2","DoB_4","DoB_6","DoB_8","DoB_11","DoB_13","DoB_15","DoB_17","DoS_3","DoS_5","DoS_7","DoS_9","DoS_12","DoS_14","DoS_16","DoS_18","QC_1","QC_10","QC_19"
"Lable","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoS","DoS","DoS","DoS","DoS","DoS","DoS","DoS","QC","QC","QC"
"M1005T206_1",6169.03647359742,5955.31214680534,5995.13484272441,5956.21162588212,7461.6040453118,8249.92418881674,6451.59688314031,5692.71369119922,9288.5335474368,9157.82748486446,8669.06721042134,8722.32202390889,8292.15982814296,9218.06346662947,8824.19796415344,9035.17285376533,8083.11474884776,7264.35206165747,6913.06521052904
"M1005T206_2",5312.5262507699,5825.31301777166,6230.68080841181,5582.39383556905,7576.16189487568,6140.04226329274,6011.52851127366,5146.90915034104,6002.33510438191,11322.8294588511,7801.41839783432,8584.85998001202,5618.44253782937,6674.88523376701,6357.70371690562,5844.90035578933,6068.49215492709,6863.60466062517,7041.52370322827
"M1005T219",1193.79018127487,3196.21410925061,1359.24026927515,3346.44724487533,1999.91343231027,2545.83746591245,3633.10128733387,1898.333326158,3629.21312166914,3027.03051780583,3016.21468375551,3036.91448956459,3278.87047686346,3051.16033051307,2914.42124434127,2681.48871783207,3110.80109973387,2551.38370596059,2753.3328022176
"M1005T247",3680.41274567264,2864.34195491577,2717.96944875251,4061.95355281388,2241.92079344573,2916.92322074085,4710.45454213642,2695.72206868507,519.826369124014,580.368104836262,776.648250649408,622.787080545805,660.489256565488,665.904505352133,714.891582010187,525.791033846099,2026.17498554573,2622.36985522883,1561.42259767125
"M1005T47",463.15970531802,664.868074689495,518.487744612308,446.153295140851,465.626017567296,499.032086309901,616.865017298911,622.827577160039,660.063032414491,537.728047064042,901.230352574319,690.67420096282,1058.7103027077,857.762373308613,669.388595077976,759.253600224269,765.114677906067,552.951926365618,670.670784925018
"M1006T200",1415.54617243954,1184.31739255501,2095.90034390894,1094.93377210498,1464.49172372759,1023.62293959255,1416.25688917819,1660.48414673163,830.046860702113,710.21382270255,751.431957116848,760.278678537297,577.059769203013,795.385832308275,732.540233257668,897.149710247623,786.279421616056,584.794787449114,898.746821631652
"M1006T206",1961.14515442285,2126.27479901159,2086.56831167728,1943.83951824781,2315.18418597708,2130.30812129377,1841.63833092097,1813.95919566536,2510.35804453574,2275.07582581673,2295.4045031365,2758.17653068023,2483.71073068777,2447.21224986903,2641.23852987182,2456.05718196387,2027.00655340124,2176.37123915277,2355.72624935613
"M1007T208",1459.06282866328,973.25978871839,3010.00273869161,596.789704595178,903.44170657589,838.142693223195,1035.80838277954,1155.50115492606,610.654021874311,568.794865040395,854.119114978191,556.622677187519,739.802018077573,825.581865942561,1043.58747771931,693.00815394276,1042.51832363069,815.36177967338,795.75492158558
"M1007T219",6160.16643744282,3900.44270112494,3566.53635694099,4775.5127033777,4994.61683969036,3265.863318397,3662.96976519862,4929.8838673286,2439.04415320461,3652.56268540553,2583.32435588603,3314.00324257891,2939.75881039332,2032.16014407924,2979.17601233053,2278.40045241705,4972.16810983763,3837.02421283016,3758.54431374863
"M1007T47",453.819662986176,508.938102775346,618.003937196358,355.873000414516,469.134537973326,352.114733062425,589.544840997839,489.583316800391,586.326558625885,672.442044367575,684.38249094969,695.642318628862,887.589847677601,871.164765067222,957.809307887053,758.053803037464,577.04179618614,772.541634126265,673.972245469812
"M1008T185",4874.5668514261,7628.69527298266,4018.66713755659,5901.35996814943,6146.24964936986,5738.01287335359,6964.66037638146,5536.423063988,1933.74757838195,3105.04882421994,2010.76019114462,1077.91185015137,3483.94004849013,3167.56534183159,3204.84587933008,2058.16978078391,3511.93774188734,4511.18193760373,3995.88479039965
"M1008T219",2853.34539346716,3099.24120818779,2145.42860370978,3770.1992874005,3137.9701717498,1714.87144510426,2680.80785666761,2767.81498768887,1755.19348786076,2735.70096018155,1885.75839055307,3314.41861929321,2319.9203516871,1137.44543900373,2295.27808326577,2008.61423398189,2224.28856335399,2765.80622853414,3544.7870445683
"M1009T185",2797.14762150002,4229.8262346463,3052.82154732947,3522.92903835703,4027.75267639764,3933.29884096841,3578.45928051427,3668.78581601785,1240.47356646804,1383.03904855729,2153.76056341971,1959.3760137107,2021.97319778163,1799.74096071478,1986.20732315224,1822.00110349731,3247.66996702718,2829.6842537242,2787.53239242001
"M100T102",2154.2250993723,2557.85044737744,2428.32607334934,2141.0956146802,2283.20193477695,2823.08402346518,2656.87409753344,2531.75686141577,2862.01968828827,3304.25700150831,3244.71523131167,2962.82106035476,3134.8412063175,2758.32132955947,3164.2929909609,2862.65554842021,2476.59478661348,2206.12882421968,2281.7802213647
"M100T447",12030.4430357234,10212.6075913901,13149.9279682763,10630.9216305592,11663.0401207733,15051.922863071,10108.6092356765,9766.76532405204,15349.4818483271,16951.7378015072,18980.6602666538,38152.7394075017,35912.0664804349,16124.8467547475,17968.8554329981,15689.0004895313,11493.0049226345,15057.9147566424,12785.7857053898
"M100T483",1680.67161522854,11287.377473078,4280.17034206402,7941.85229269134,2101.37378307719,5982.68961825231,11919.4195241929,21372.1089034943,8289.42572528953,4783.94828109742,11015.8234701236,10036.1285661534,6965.36145910417,27143.3951212542,28271.6706170915,9825.63872896847,7385.34718841784,8115.17961962117,6302.97051749113
"M1011T173",3029.13857630224,2664.60642181135,1336.46105446953,2845.42874482449,2007.90142086251,2333.95887245287,1508.97583517219,2527.66088857688,2328.4056116236,3823.94180853503,2301.88330542404,2901.71304034005,2354.78808245584,3278.45469650122,2221.78041841435,2873.75048491639,2517.37645756605,2421.68565457501,2185.13966822385
"M1011T224",8237.86706903134,6821.01107572792,5211.37137433817,4003.27704026695,8584.34555865567,7965.71091472455,7701.76258285745,3740.96628376434,2414.51497887707,5134.28814236293,3748.3964823342,4139.1090425485,4019.17241426823,2157.54201333639,4411.79669467491,1812.93535547738,7480.98801448228,5706.46593932145,6487.27818395782
"M1011T253",768.801133870764,711.863903038812,887.876436629732,633.975694528095,896.470346037112,730.252603714879,633.395464303614,865.083311876956,440.719471927942,478.889370366167,419.362385513998,415.517907371133,418.01045936387,503.67415928861,414.550225408568,444.13900744173,504.483037241565,599.058450072139,677.492177998277
"M1012T184",8947.1590771251,8575.07095564373,9006.91298360563,8600.96258871315,8754.47437399376,8973.31486547233,10209.2511272619,9667.67932214923,6329.15003566922,5279.41004064436,4488.37497572686,6494.8038380766,6652.97507640534,5578.58699160321,4782.68449899227,5412.36203778921,6579.82993498582,6898.4825725844,6828.24881936942
"M1013T184",4465.72897800142,5045.14873196536,4887.62555666755,4670.5169139543,5082.21969899741,5276.47935286265,4815.43489228709,4827.92384129007,3939.42585606867,3549.51284435538,2824.81817453376,3283.36757761489,2826.16127863641,2232.36699607824,3481.4874014115,2359.019764762,3847.67684347749,4124.21070332823,3328.95602563276
