"Sample","DoB_2","DoB_4","DoB_6","DoB_8","DoB_11","DoB_13","DoB_15","DoB_17","DoS_3","DoS_5","DoS_7","DoS_9","DoS_12","DoS_14","DoS_16","DoS_18","QC_1","QC_10","QC_19"
"Lable","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoS","DoS","DoS","DoS","DoS","DoS","DoS","DoS","QC","QC","QC"
"M1007T205_1",4311.39144561087,4168.92119062273,4660.23388844811,3536.46482912921,3581.46012112077,3838.14819178383,4204.13481909883,4119.46747823091,5047.23585232853,7151.80132411955,5893.55926421741,5118.37286013045,6149.08159727428,6002.8142761703,5144.97337007408,6042.61422126578,4207.66264983812,5148.5649615884,5192.01372492864
"M1007T205_2",12633.4943917131,5379.58922230947,5074.95077580224,4237.29764856424,4627.40514061589,3648.30292217283,4146.48528613111,3129.51927865436,3655.5019529035,3975.66474440544,3163.74199753043,4205.60824307041,5629.79734238507,4543.29826652669,4934.23566342555,2983.68580714892,5005.02900975796,4712.71987862824,3217.06534679442
"M1007T219_1",8335.2666665276,7733.63840594892,7246.21487189009,4852.39506521114,9720.37738937918,8329.01732574527,6135.00534737567,10568.8795510903,6976.42414291642,5963.63433999912,5190.17509878139,5668.69454897268,5829.47934568549,4806.49127401894,3814.52076266817,5300.61109701927,7592.53751050787,6853.87505692649,8207.93601693088
"M1007T219_2",9002.56848076478,5705.10833756654,7144.07420731633,11728.9687732465,7182.57239983552,7590.19145431482,5870.48116747875,5794.07456848863,5233.50786032683,5523.59402552996,5512.08001571816,4320.55748349589,3901.52025460388,5997.63714878171,5013.5019985051,4493.06307460748,4468.24252050611,6957.21917521432,5696.59263266487
"M100T44",1454.71808499448,2437.91059021825,1902.77079889482,1746.77548892252,2720.24249155776,2155.39065966345,2494.79073225481,1846.01000691525,3020.42887891301,3418.86217481468,4116.42818234828,3964.95350840716,4066.01909932201,3022.9758716296,3124.65264223765,3766.48580904421,2870.73400846133,2805.89913369347,3434.51670034066
"M100T487_1",1708.2282339663,1794.04229010655,2158.00994868089,1279.22574493247,1910.04720648992,2072.2545912348,1834.74230245487,1628.43203954447,2292.73276155533,3932.82270736988,2413.24595916646,2387.23669813917,2976.82100832352,2371.40782096839,2938.72628692027,2502.77328923359,2228.87066845384,1934.87939830151,2009.73198427069
"M100T487_2",1802.05375157265,2119.38669072181,1941.03659530591,1828.02931099683,2280.19683533667,1790.73907764123,2173.59333431834,1753.73303454002,3314.05174767982,2255.55974429485,2431.74972748245,3498.46550114672,2701.66936011409,2621.49946953279,2365.54927850023,2761.68087087845,2851.27063773103,2406.4566596611,2113.8795774584
"M1010T218",1735.890792901,1545.31739141743,2363.72994219792,2865.5250888852,2182.53798248189,2154.27474439921,3824.61119120106,2981.96500968893,1879.3729773178,2437.37815988045,1406.09993183279,2008.40545245659,2928.97551428631,1328.80230779085,1818.729872076,1263.19973415895,2568.52665092756,3355.29232114335,2441.22819959724
"M1011T148",777.794213918398,1310.67808139835,960.092975871809,558.33079821617,1824.83691182542,1753.76183783036,797.604706977894,1019.11385263146,1075.46521207834,1287.45151712736,1325.87787087841,1421.93202836002,812.405166410518,1322.25249932858,752.329304613944,1448.07529748912,637.58557852287,943.436529296447,1113.19382982285
"M1012T148",1033.92000532795,882.38681142338,651.609903351193,556.309338191591,1225.01019695445,587.054902967928,816.276376531911,1034.92171122392,589.956012577739,1122.00971067999,1463.68420534954,1220.57440821566,1119.00023676187,932.219496707824,1057.8718253077,1075.52929669731,1138.29342973179,629.029409870631,888.444086850335
"M1013T189",3337.04682583298,2622.22820059704,2346.52180972317,3609.31053746557,2289.04849445669,2395.1946957294,2632.10985619693,2899.19579506644,1869.69135229862,1956.5061845116,2402.77065353892,1832.71994198044,1817.15513709426,2572.19034942188,2597.59032435628,1737.39193944914,2509.70579645954,2007.21038490374,2239.5830687522
"M1014T183",6444.12571343843,6939.57067476879,6828.78764121329,5894.29343122372,6976.99544036599,6847.55839974556,6163.33113659045,6759.80595311061,3783.96700242248,3440.61960843478,3293.49173833827,3572.93789916347,4020.62123682951,4272.07840477707,2840.64646959474,3691.96363587033,5334.7067238524,5499.72950718415,4666.55960119112
"M1014T385",3399.10530239414,1684.65951506649,3092.9586032617,3177.87259451517,1461.44227621358,4217.94293518249,2224.55989938406,2200.65393373984,12627.3127505738,11630.6441598115,11938.7446365052,12187.4500911088,12442.5722597642,9236.39110808021,9036.28690269828,10115.4636288376,7884.25999221806,5010.55914588991,6072.2021541247
"M1014T406",645.658423209241,258.927898168177,1003.58504920926,514.490275823661,639.815217785284,658.455238621548,214.979625030687,411.524902638709,6295.01641069381,9460.05032978548,8045.44938231894,7609.44728044713,5436.93661512586,6845.16553913442,6228.0446781352,5445.57430614738,3410.7769096821,2467.35695694603,3534.56530971844
"M1015T183",3613.3675526944,3524.69232318509,3578.12421830825,3335.57329834884,3485.75232452835,3231.89472305614,2470.00715085242,2799.91040251753,1863.1918214266,1815.12475812058,2349.88090493839,2083.37529666362,2117.47074831117,1949.29700457401,1745.20104586652,1849.66412431801,1893.45997816027,2055.93933927621,2536.26253168582
"M1015T290_1",788.086664151471,570.861921024856,379.318908807567,382.105010525534,767.365178996934,883.506866487947,726.026859577562,422.800474687456,562.16442894281,680.130864962374,991.626895836876,519.321156148553,624.684234748974,696.642755186665,803.614515284495,640.40755488645,688.311500524017,855.501331456216,879.166649690234
"M1015T290_2",789.071332125583,1426.15773454489,1329.92031046002,1174.85139091218,727.52725389196,1286.60883499934,1084.21666196514,719.861141569883,1143.88292636298,1005.99487730514,1052.5511418884,1047.04089767083,1101.17353413772,1110.84552191068,817.357358670647,1053.16018019643,1126.43667337165,972.856467203044,1372.69811556758
"M1015T385",2267.2123724372,1025.60168410801,2822.70502470685,2205.45265150237,1275.71649589795,2384.29670867088,1543.49475877675,1387.30643996504,9584.00037086455,6753.18719745765,6887.24633841815,7861.2357745577,8513.50701155793,4673.94310203219,5257.37526384185,6447.62747894678,4083.07227422328,4150.81255291734,3682.13887796256
"M1016T182",3654.53363829843,4648.91735374311,5426.34614390958,2809.84072833209,3069.43225524468,3809.90677235807,1759.06898472561,3837.67796775475,1760.22913422472,1927.17081851818,2224.55264414163,2524.19440697624,2722.52810600336,2373.71547574487,2096.37171689912,2175.50018763281,2806.24094658568,3397.27922497835,2816.70531304806
"M1016T291",1773.96354496204,1531.94616660412,1966.89192422144,1487.98593852304,1447.09510277304,1308.84611428657,1026.9951996568,939.50632278117,1053.05113253468,1170.33103419521,1086.68144614712,1213.80917906292,2737.7087585341,1631.02302373893,1082.02456364774,1549.23899158247,1014.01786732767,1563.05286944081,1284.1708026532
